;p_val;avg_logFC;clus6.mean;clus2.mean
Smdt1;0.008744683;0.315860088;1.526275302;1.210415214
Ccdc115;0.008852171;0.203254583;0.332410336;0.129155752
Ube2c;0.009121098;0.278835629;0.429447772;0.150612143
Rbck1;0.009254256;-0.255949495;0.284877362;0.540826857
Dcaf12;0.00945399;0.185147603;0.275392989;0.090245385
Cdkn2c;0.009488253;0.167526629;0.232398223;0.064871593
Tpm3;0.009566915;0.352846606;1.402309289;1.049462683
Clec12a;0.009584849;0.249931467;0.393092785;0.143161318
Smc4;0.009692125;0.238094472;0.453695038;0.215600567
Uba5;0.009725736;0.151071618;0.19381656;0.042744942
Mis18a;0.009769789;0.196811513;0.336174111;0.139362598
Cenph;0.009772413;0.160407607;0.225193949;0.064786342
Cenpw;0.009868259;0.176421693;0.302510027;0.126088334
Tln1;0.009927386;0.344873055;1.440417482;1.095544426
Tomm20;0.009931774;-0.322676514;0.939992835;1.26266935
5031439G07Rik;0.010040597;0.152801609;0.213375332;0.060573723
Tmco1;0.010123407;0.257037682;0.583287241;0.326249559
Hprt;0.010126595;0.226597125;0.419657835;0.19306071
Taok1;0.010143301;0.172051132;0.225762071;0.053710939
Npm3;0.010143813;-0.3007937;0.692492081;0.993285781
H1f0;0.010226163;0.189453807;0.249154352;0.059700545
Ier5;0.010337599;0.161012205;0.182727988;0.021715783
Pdia6;0.010383073;0.29297188;0.776831613;0.483859732
Cd52;0.010393813;0.357461461;2.018332156;1.660870695
Rtf1;0.010450445;-0.316593336;1.065509641;1.382102976
Ifngr2;0.010623275;0.199653578;0.348556542;0.148902965
Ttc3;0.010695297;-0.20290926;0.201614051;0.40452331
H2afv;0.010730905;0.326751411;1.497778148;1.171026737
Tns3;0.010799674;0.179440818;0.280628646;0.101187827
2510002D24Rik;0.01109468;-0.262410636;0.226775524;0.48918616
Scp2;0.011540783;0.272391553;0.732151866;0.459760313
Uxt;0.011636406;0.142296356;0.197412545;0.055116189
Klf6;0.011719319;0.138509039;0.174800228;0.036291188
Immt;0.011758567;0.195863186;0.372445247;0.176582061
Hmgb3;0.012031449;-0.194200132;0.174271257;0.368471389
Tcf19;0.012063932;0.129295624;0.14342762;0.014131996
Ccnd3;0.01223578;0.252716289;0.505064413;0.252348124
Tm2d2;0.01231654;0.193033187;0.379624733;0.186591546
Hist1h1e;0.012364219;0.297383451;0.601403469;0.304020018
Xpc;0.012449058;-0.241256722;0.188771795;0.430028517
Mxd4;0.012584703;-0.258006408;0.238979745;0.496986153
Hist1h4i;0.012922537;0.189807095;0.31046377;0.120656675
Stip1;0.013070726;-0.235632799;0.293256885;0.528889684
Ubtf;0.013354069;-0.274976349;0.515822014;0.790798363
Txndc9;0.013523658;0.166460178;0.297260946;0.130800768
Mgat5;0.013528911;-0.146698672;0.071587193;0.218285865
Serf1;0.013528911;-0.159728155;0.08063023;0.240358385
Dnajc9;0.013543198;0.26580781;0.631481487;0.365673677
Strbp;0.013560792;-0.232125891;0.260419094;0.492544985
Rap1b;0.013581469;0.251618374;0.547157971;0.295539597
Trabd;0.013711761;0.161258887;0.228546684;0.067287798
Rchy1;0.01375976;0.203544167;0.407543473;0.203999306
Pitpna;0.013786841;0.26808394;0.781992281;0.513908341
1110008F13Rik;0.013853047;-0.314938125;0.748666577;1.063604702
Anapc15;0.013941763;0.171075992;0.30584895;0.134772957
Rp9;0.014211026;-0.268122008;0.540903323;0.809025331
Trf;0.014289049;0.16565389;0.259668632;0.094014742
Scd2;0.014327872;-0.208853506;0.232695638;0.441549145
1110038F14Rik;0.014467043;-0.232043131;0.19634941;0.428392541
Pycard;0.014586562;0.342063736;1.110079937;0.768016201
Adrbk2;0.014599621;0.137730155;0.178684041;0.040953886
Pbk;0.014635074;0.139206759;0.183624855;0.044418096
Med30;0.014672298;0.184721696;0.347728137;0.163006441
Cdk13;0.014832704;-0.156871686;0.095991247;0.252862933
Vamp5;0.014905817;0.14847966;0.159169212;0.010689551
Thap11;0.014939254;0.144734281;0.205418823;0.060684542
Ifitm3;0.015038774;0.265764595;0.440609627;0.174845032
Gm12216;0.01504766;-0.151732136;0.07918789;0.230920026
Ubl4a;0.015182597;0.165799338;0.277463527;0.11166419
Zfp36l2;0.015268154;-0.297229506;0.727069565;1.024299071
Atg4b;0.015338591;0.122948371;0.135170289;0.012221917
Txnl1;0.015389366;0.180931615;0.301371795;0.12044018
Fam96a;0.015550312;0.293332619;0.929779526;0.636446907
Nucks1;0.015670314;0.298545614;1.090544167;0.791998552
